School code(s),School full name,Level of schooling,School short name,NSSC total FTE students ,Postcode,Street,Subtype,Town/suburb,Status,Region,SEG,SEA,Local Government Area (LGA - Current),College number,Local Government Area (LGA - Old),SLA,NSW Electorate (2023),NSW Electorate (2015),NSW Electorate (Old),Fed. electorate,Old Fed. electorate,School Performance Directorate,School Performance Area,Educational Services Team,Principal Network,FACS District,AusGovID,Old AusGovID,Org unit No,School population gender,Selective school,Sch specialty type,Preschool indicator,Distance ed.,MCEECDYA Remoteness,ASGS Remoteness,Rural and Remote,IEC,Staff classification,Exec classification,Priority school,Demonstration,Postal 1,Postal 2,Phone 1,Phone 2,School website,School email,Fax 1,Fax 2,Late opening,School division,Heat allowance,Yancowinna,Isothermic,Socio-economic,Transfer points,NSW Electorate Code (2023),Date 1st teacher,Date teaching ceased,Date closed,SEA code,Region code,LGA code,Old LGA code,SLA code,NSW Electorate Code (2015),NSW Electorate Code (Old),Federal electorate code,Old Federal electorate code,SEG code,Executive Director Code,Educational Services Team Code,Principal Network Code,ARIA Plus SA1 Avg,Principal Name,Principal Email,School Planning Region,Primary Cluster Code,Primary Cluster Name,Primary Cluster Region,Secondary Cluster Code,Secondary Cluster Name,Secondary Cluster Region,Combined Cluster Code,Combined Cluster Name,Combined Cluster Region,SSP Cluster Code,SSP Cluster Name,SSP Cluster Region
8372,The Forest High School,Secondary School,The Forest High,795.2,2086,135 Frenchs Forest Rd,7 to 12,Frenchs Forest ,Open,Northern Sydney,Middle Harbour Network,Northern Beaches,Northern Beaches (A),0,Warringah (A),Warringah (A),Wakehurst,Wakehurst,Wakehurst,Mackellar,Mackellar,Metropolitan North,School Performance North,Macquarie Park,The Forest,"South Eastern Sydney, Northern Sydney & Sydney",47683,7683,1990,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9451 5111,,https://theforest-h.schools.nsw.gov.au,theforest-h.school@det.nsw.edu.au,9975 3293,,No,E,N,N,N,0,1,6126,1/01/1961,,,327,531,15990,18000,18000,68,88,26,27,611,25990,24625,26005,0,"Lawler, Nathan                          ",nathan.lawler6@det.nsw.edu.au                                                                                                   ,Metropolitan Sydney,,,,20014,Northern Beaches Secondary,Metro - North,,,,40007,Metro / North SSP,Metro - North
8373,Five Islands Secondary College,Secondary School,Five Islands,271.5,2505,Military Rd,10 to 12,Port Kembla,Open,Illawarra and South East,Wollongong,Wollongong,Wollongong (C),0,Wollongong (C),Wollongong (C) Bal,Wollongong,Wollongong,Wollongong,Cunningham,Throsby,Regional South,School Performance South,Wagga Wagga,Lake Illawarra North,Illawarra Shoalhaven & Southern NSW,54678,14678,1991,Coed School,N,Senior College,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,Yes,N,PO Box 211,Port Kembla 2505,4274 0621,4274 0622,https://fiveislands-h.schools.nsw.gov.au,illawarra-h.school@det.nsw.edu.au,4276 2835,,No,E,N,N,N,0,1,38,1/01/1961,,,343,538,18450,18450,18454,37,92,11,44,668,26045,24706,26052,0.13,"Flowers, Jennifer                       ",jennifer.flowers@det.nsw.edu.au                                                                                                 ,Illawarra,,,,20005,Wollongong South Secondary,Illawarra,,,,40005,Illawarra SSP,Illawarra
8374,Brisbane Water Secondary College Woy Woy Campus,Secondary School,Brisbane Water Sec College Woy Woy,668.8,2256,Edward St,10 to 12,Woy Woy ,Open,Hunter/Central Coast,H/CC1,Central Coast,Central Coast (C),410,Gosford (C),Gosford (C) - West,Gosford,Gosford,Gosford,Robertson,Robertson,Regional North,School Performance North,Macquarie Park,Brisbane Water,Hunter New England & Central Coast,46489,6489,1992,Coed School,N,Senior College,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,4341 1600,4341 4777,https://woywoy-h.schools.nsw.gov.au,woywoy-h.school@det.nsw.edu.au,4344 3263,,No,E,N,N,N,0,1,33,1/01/1962,,,311,534,11650,13100,13104,94,30,40,41,642,26027,24625,26029,0,"Cooper, Rebecca                         ",rebecca.cooper51@det.nsw.edu.au                                                                                                 ,Central Coast,,,,20048,Woy Woy Secondary,Central Coast,,,,40001,Central Coast SSP,Central Coast
8377,Picnic Point High School,Secondary School,Picnic Point High,932,2213,61 Kennedy Street,7 to 12,PICNIC POINT,Open,South Western Sydney,East Hills,Bankstown,Canterbury-Bankstown (A),0,Bankstown (C),Bankstown (C) - South,East Hills,East Hills,East Hills,Banks,Hughes,Metropolitan South and West,School Performance South,Ultimo,Bankstown,South Western Sydney,46336,6336,1993,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9772 1700,9772 1231,https://picnicpt-h.schools.nsw.gov.au,picnicpt-h.school@det.nsw.edu.au,9792 3960,,No,E,N,N,N,0,1,34,1/01/1962,,,303,532,11570,10350,10355,79,27,1,20,616,27472,24663,26010,0,"Byron, Sharon                           ",sharon.byron@det.nsw.edu.au,Metropolitan Sydney,,,,20034,East Hills Secondary,Metro - South,,,,40011,Metro / West Central SSP,Metro - West Central
8379,Pittwater High School,Secondary School,Pittwater High,1075.7,2103,Pittwater Rd & Mona St,7 to 12,Mona Vale ,Open,Northern Sydney,Peninsula Network,Northern Beaches,Northern Beaches (A),0,Pittwater (A),Pittwater (A),Pittwater,Pittwater,Pittwater,Mackellar,Mackellar,Metropolitan North,School Performance North,Macquarie Park,Pittwater,"South Eastern Sydney, Northern Sydney & Sydney",47716,7716,1994,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9999 4035,,https://pittwater-h.schools.nsw.gov.au,pittwater-h.school@det.nsw.edu.au,9979 5088,,No,E,N,N,N,0,1,5323,1/01/1963,,,327,531,15990,16370,16370,61,68,26,27,610,25990,24625,26001,0,"Gambino, Alison                         ",alison.gambino@det.nsw.edu.au                                                                                                   ,Metropolitan Sydney,,,,20014,Northern Beaches Secondary,Metro - North,,,,40007,Metro / North SSP,Metro - North
8381,Bankstown Senior College,Secondary School,Bankstown College,453.2,2200,Antwerp St,10 to 12,Bankstown ,Open,South Western Sydney,Bankstown,Bankstown,Canterbury-Bankstown (A),0,Bankstown (C),Bankstown (C) - North-East,Bankstown,Bankstown,East Hills,Blaxland,Blaxland,Metropolitan South and West,School Performance South,Ultimo,Bankstown,South Western Sydney,55388,15388,1995,Coed School,N,Senior College,No,No Distance Education,Metropolitan,Major Cities of Australia,No,Yes,,,Yes,N,,,9707 3288,9707 3465,https://bankstowns-h.schools.nsw.gov.au,bankstowns-h.school@det.nsw.edu.au,9790 4678,,No,E,N,N,N,0,1,906,1/01/1963,,,303,532,11570,10350,10351,78,27,5,5,614,27472,24663,26010,0,"Gardiner, Jennifer                      ",jennifer.m.gardiner@det.nsw.edu.au,Metropolitan Sydney,,,,20035,Bankstown Secondary,Metro - South,,,,40011,Metro / West Central SSP,Metro - West Central
8382,Castle Hill High School,Secondary School,Castle Hill High,2006.5,2154,Castle St,7 to 12,Castle Hill ,Open,Northern Sydney,Hills Network,Hornsby,The Hills Shire (A),0,The Hills Shire (A),The Hills Shire (A) - Central,Castle Hill,Castle Hill,Castle Hill,Mitchell,Mitchell,Metropolitan North,School Performance North,Macquarie Park,The Hills,Western Sydney & Nepean Blue Mountains,47864,7864,1996,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9634 4199,9634 4342,https://castlehill-h.schools.nsw.gov.au,castlehill-h.school@det.nsw.edu.au,9899 6527,,No,E,N,N,N,0,1,27,1/01/1963,,,318,531,17420,17420,17421,60,17,29,30,609,25990,24625,26006,0,"Fleming, Georgina                       ",georgina.fleming2@det.nsw.edu.au,Metropolitan Sydney,,,,20037,North East Secondary,Metro - West Central,,,,,,
8383,Nepean Creative and Performing Arts High School,Secondary School,Nepean Creative and Performing Arts High,1017.4,2750,Great Western Hwy,7 to 12,Emu Plains ,Open,Western Sydney,Blue Mountains,Penrith,Penrith (C),0,Penrith (C),Penrith (C) - West,Penrith,Penrith,Penrith,Lindsay,Lindsay,Metropolitan South and West,School Performance South,Macquarie Park,Penrith,Western Sydney & Nepean Blue Mountains,50709,10709,1997,Coed School,N,Performing Arts,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,4728 7200,4735 5600,https://nepean-h.schools.nsw.gov.au,nepean-h.school@det.nsw.edu.au,4735 6141,,No,E,N,N,N,0,2,497,1/01/1963,,,330,533,16350,16350,16354,47,67,23,24,630,27472,24625,26000,0,"Isakov, Natalie                         ",natalie.isakov@det.nsw.edu.au                                                                                                   ,Metropolitan Sydney,,,,20031,Penrith Secondary,Metro - West,,,,40010,Metro / West SSP,Metro - West
8384,Westfields Sports High School,Secondary School,Westfields Sports High,1625.4,2165,406A Hamilton Road,7 to 12,FAIRFIELD WEST,Open,South Western Sydney,Fairfield,Fairfield,Fairfield (C),0,Fairfield (C),Fairfield (C) - East,Fairfield,Fairfield,Fairfield,McMahon,McMahon,Metropolitan South and West,School Performance South,Ultimo,Fairfield,South Western Sydney,48161,8161,1998,Coed School,N,Sports,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9604 3333,,https://westfields-h.schools.nsw.gov.au,westfields-h.school@det.nsw.edu.au,9725 4898,,No,E,N,N,N,0,1,64,1/01/1963,,,315,532,12850,12850,12851,57,29,28,29,617,27472,24663,26049,0,"Rogers, Andrew                          ",andrew.rogers27@det.nsw.edu.au                                                                                                  ,Metropolitan Sydney,,,,20023,Fairfield Secondary,Metro - South West,,,,,,
8385,Greystanes High School,Secondary School,Greystanes High,1033.2,2145,Beresford Rd,7 to 12,Greystanes ,Open,Western Sydney,Cumberland,Parramatta,Cumberland (A),0,Holroyd (C),Holroyd (C),Prospect,Prospect,Smithfield,McMahon,McMahon,Metropolitan South,School Performance South,Macquarie Park,Girraween,Western Sydney & Nepean Blue Mountains,47806,7806,1999,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,PO Box 125,Wentworthville 2145,9631 9144,,https://greystanes-h.schools.nsw.gov.au,greystanes-h.school@det.nsw.edu.au,9896 3087,,No,E,N,N,N,0,1,6132,1/01/1963,,,329,533,12380,13950,13950,52,75,28,29,627,26008,24625,25995,0,"Sparke, Grant                           ",grant.sparke@det.nsw.edu.au,Metropolitan Sydney,,,,20045,Granville Secondary,Metro - West Central,,,,40011,Metro / West Central SSP,Metro - West Central
8386,Gymea Technology High School,Secondary School,Gymea Technology High,615.2,2227,Hotham Rd & Princes Hwy,7 to 12,Gymea ,Open,Sydney,Network 8,Sutherland,Sutherland Shire (A),0,Sutherland Shire (A),Sutherland Shire (A) - East,Miranda,Miranda,Miranda,Cook,Cook,Metropolitan South and West,School Performance South,Ultimo,Sutherland,"South Eastern Sydney, Northern Sydney & Sydney",46414,6414,2000,Coed School,N,Technology,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9521 3244,,https://gymea-h.schools.nsw.gov.au,gymea-h.school@det.nsw.edu.au,9545 1540,,No,E,N,N,N,0,1,7,1/01/1963,,,337,530,17150,17150,17151,77,53,9,10,606,27472,24663,26025,0,"Marsh, Peter                            ",peter.marsh@det.nsw.edu.au                                                                                                      ,Metropolitan Sydney,,,,20016,Sutherland Secondary,Metro - South,,,,,,
8388,Moss Vale High School,Secondary School,Moss Vale High,705.6,2577,Narellan Rd,7 to 12,Moss Vale ,Open,Illawarra and South East,Goulburn/Highlands,Shellharbour,Wingecarribee (A),0,Wingecarribee (A),Wingecarribee (A),Goulburn,Goulburn,Goulburn,Whitlam,Throsby,Regional South,School Performance South,Ultimo,Goulburn,South Western Sydney,50247,10247,2001,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,No,N,PO Box 137,MOSS VALE 2577,4868 1717,4868 1788,https://mossvale-h.schools.nsw.gov.au,mossvale-h.school@det.nsw.edu.au,4868 2787,,No,E,N,N,N,0,1,55,1/01/1964,,,335,538,18350,18350,18350,12,31,47,44,663,26045,24663,26051,0.37,"Holmes, Patricia                        ",patricia.holmes@det.nsw.edu.au                                                                                                  ,South East & Tablelands,,,,20133,Rural Wolondilly Secondary,South East & Tablelands,,,,40015,South East & Tablelands SSP,South East & Tablelands
8389,Swansea High School,Secondary School,Swansea High,662.2,2281,Park Ave,7 to 12,Caves Beach ,Open,Hunter/Central Coast,H/CC7,Lake Macquarie,Lake Macquarie (C),0,Lake Macquarie (C),Lake Macquarie (C) - East,Swansea,Swansea,Swansea,Shortland,Shortland,Regional North,School Performance North,Tamworth,Lake Macquarie East,Hunter New England & Central Coast,46492,6492,2002,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,4971 1761,,https://swansea-h.schools.nsw.gov.au,swansea-h.school@det.nsw.edu.au,4972 1378,,No,E,N,N,N,0,1,6141,1/01/1963,,,319,534,14650,14650,14651,32,78,41,42,648,26027,24685,26036,0,"Pesle, Andrew                           ",andrew.pesle@det.nsw.edu.au                                                                                                     ,Hunter,,,,20059,Charlestown Secondary,Hunter,,,,,,
8390,Whitebridge High School,Secondary School,Whitebridge High,923,2290,Lonus Ave,7 to 12,Whitebridge ,Open,Hunter/Central Coast,H/CC7,Newcastle,Lake Macquarie (C),0,Lake Macquarie (C),Lake Macquarie (C) - North,Charlestown,Charlestown,Charlestown,Shortland,Shortland,Regional North,School Performance North,Tamworth,Glenrock,Hunter New England & Central Coast,49093,9093,2003,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,4943 3966,,https://whitebridg-h.schools.nsw.gov.au,whitebridg-h.school@det.nsw.edu.au,4942 2568,,No,E,N,N,N,0,1,2,1/01/1963,,,326,534,14650,14650,14653,31,19,41,42,648,26027,24685,26032,0,"Harvey, Nadene                          ",nadene.harvey@det.nsw.edu.au,Hunter,,,,20059,Charlestown Secondary,Hunter,,,,40004,Hunter SSP,Hunter
8391,Wingham High School,Secondary School,Wingham High,561,2429,9 Rowley St,7 to 12,Wingham ,Open,North Coast,Lower North Coast,Taree,Mid-Coast (A),0,Greater Taree (C),Greater Taree (C),Myall Lakes,Myall Lakes,Myall Lakes,Lyne,Lyne,Regional North and West,School Performance North,Tamworth,Taree,Hunter New England & Central Coast,49543,9543,2004,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,No,N,,,6553 5488,,https://wingham-h.schools.nsw.gov.au,wingham-h.school@det.nsw.edu.au,6557 0372,,No,E,N,N,N,0,1,6148,1/01/1963,,,339,535,15240,13380,13380,25,59,24,25,641,27470,24685,26079,1.38,"Ivers, Paul                             ",paul.ivers@det.nsw.edu.au                                                                                                       ,North Coast,,,,20102,Taree Secondary,North Coast,,,,40014,North Coast SSP,North Coast
8392,West Wyalong High School,Secondary School,West Wyalong High,284,2671,30 Dumaresq St,7 to 12,West Wyalong ,Open,Riverina,Riverina North West,Griffith,Bland (A),0,Bland (A),Bland (A),Cootamundra,Cootamundra,Murrumbidgee,Riverina,Riverina,Rural South and West,School Performance South,Wagga Wagga,West Wyalong,"Murrumbidgee, Far West & Western NSW",50537,10537,2005,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Outer Regional Australia,Yes,No,,,No,N,,,6972 2700,,https://westwyalon-h.schools.nsw.gov.au,westwyalon-h.school@det.nsw.edu.au,6972 2236,,No,C,N,N,N,0,4,54,1/01/1963,,,317,537,10800,10800,10800,9,58,39,40,659,26084,24706,26104,4.25,"Sheens, Gregory                         ",gregory.sheens@det.nsw.edu.au,Riverina - Murray,,,,20124,Griffith Secondary,Riverina - Murray,,,,40012,Murray-Murrumbidgee SSP,Riverina - Murray
8393,Canley Vale High School,Secondary School,Canley Vale High,1589,2166,Prospect Rd,7 to 12,Canley Vale ,Open,South Western Sydney,Fairfield,Fairfield,Fairfield (C),0,Fairfield (C),Fairfield (C) - East,Cabramatta,Fairfield,Cabramatta,Fowler,Fowler,Metropolitan South and West,School Performance South,Ultimo,Fairfield,South Western Sydney,46466,6466,2006,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,Yes,N,,,9728 7071,,https://canleyvale-h.schools.nsw.gov.au,canleyvale-h.school@det.nsw.edu.au,,,No,E,N,N,N,0,2,65,1/01/1966,,,315,532,12850,12850,12851,57,13,15,16,617,27472,24663,26049,0,"Santucci, Deborah                       ",deborah.santucci@det.nsw.edu.au                                                                                                 ,Metropolitan Sydney,,,,20023,Fairfield Secondary,Metro - South West,,,,,,
8394,Miller High School,Secondary School,Miller High,681.6,2168,60 Cabramatta Avenue,7 to 12,MILLER,Open,South Western Sydney,Liverpool,Liverpool,Liverpool (C),0,Liverpool (C),Liverpool (C) - East,Liverpool,Liverpool,Liverpool,Werriwa,Fowler,Metropolitan South and West,School Performance South,Ultimo,Liverpool,South Western Sydney,46385,6385,2007,Coed School,N,Technology,No,No Distance Education,Metropolitan,Major Cities of Australia,No,Yes,,,Yes,N,,,9607 8669,9607 7765,https://miller-h.schools.nsw.gov.au,miller-h.school@det.nsw.edu.au,9607 9460,,No,E,N,N,N,0,4,85,1/01/1965,,,321,532,14900,14900,14901,55,45,46,16,621,27472,24663,26054,0,"Edge, Kenneth                           ",kenneth.edge@det.nsw.edu.au,Metropolitan Sydney,,,,20025,Cecil Hills Secondary,Metro - South West,,,,40009,Metro / South West SSP,Metro - South West
8395,Pendle Hill High School,Secondary School,Pendle Hill High,431.8,2145,Knox St,7 to 12,Wentworthville ,Open,Western Sydney,The Hills,Parramatta,Parramatta (C),0,Parramatta (C),Parramatta (C) - North-West,Winston Hills,Seven Hills,Toongabbie,Parramatta,Greenway,Metropolitan South,School Performance South,Macquarie Park,Girraween,Western Sydney & Nepean Blue Mountains,47809,7809,2008,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,Yes,N,,,9631 9651,9631 2906,https://pendlehill-h.schools.nsw.gov.au,pendlehill-h.school@det.nsw.edu.au,9896 3093,,No,E,N,N,N,0,1,6134,1/01/1965,,,329,533,16260,16250,16253,72,83,35,19,628,26008,24625,25995,0,"Sims, Judith                            ",judith.sims@det.nsw.edu.au,Metropolitan Sydney,,,,20036,Parramatta Secondary,Metro - West Central,,,,,,
8396,Windsor High School,Secondary School,Windsor High,574,2756,Mulgrave & Windsor Rds,7 to 12,McGraths Hill ,Open,Western Sydney,Hawkesbury,Windsor,Hawkesbury (C),0,Hawkesbury (C),Hawkesbury (C),Hawkesbury,Hawkesbury,Riverstone,Macquarie,Macquarie,Regional North,School Performance North,Macquarie Park,Windsor,Western Sydney & Nepean Blue Mountains,50753,10753,2009,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,Yes,N,,,4587 7122,4587 7127,https://windsor-h.schools.nsw.gov.au,windsor-h.school@det.nsw.edu.au,4587 7687,,No,E,N,N,N,0,2,20,1/01/1969,,,342,533,13800,13800,13800,41,71,27,28,631,26027,24625,26043,0,"Hawken, Jennifer                        ",jennifer.hawken@det.nsw.edu.au                                                                                                  ,Metropolitan Sydney,,,,20033,Hawkesbury Secondary,Metro - West,,,,40010,Metro / West SSP,Metro - West
8397,Ashcroft High School,Secondary School,Ashcroft High,618.2,2168,Maxwells Ave,7 to 12,Ashcroft,Open,South Western Sydney,Liverpool,Liverpool,Liverpool (C),0,Liverpool (C),Liverpool (C) - East,Liverpool,Liverpool,Liverpool,Werriwa,Fowler,Metropolitan South and West,School Performance South,Ultimo,Liverpool,South Western Sydney,46380,6380,2010,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,Yes,N,,,9607 8011,9607 8422,https://ashcroft-h.schools.nsw.gov.au,ashcroft-h.school@det.nsw.edu.au,9607 6562,,No,E,N,N,N,0,4,85,1/01/1964,,,321,532,14900,14900,14901,55,45,46,16,621,27472,24663,26054,0,"Noon, Edward                            ",edward.noon@det.nsw.edu.au                                                                                                      ,Metropolitan Sydney,,,,20025,Cecil Hills Secondary,Metro - South West,,,,,,
8398,Condell Park High School,Secondary School,Condell Park High,903,2200,Third Ave,7 to 12,Condell Park,Open,South Western Sydney,Bankstown,Bankstown,Canterbury-Bankstown (A),0,Bankstown (C),Bankstown (C) - North-West,East Hills,East Hills,East Hills,Blaxland,Blaxland,Metropolitan South and West,School Performance South,Ultimo,Bankstown,South Western Sydney,48579,8579,2011,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,Yes,N,,,9709 4522,9709 4169,https://condellpk-h.schools.nsw.gov.au,condellpk-h.school@det.nsw.edu.au,9796 8027,,No,E,N,N,N,0,1,34,1/01/1964,,,303,532,11570,10350,10353,79,27,5,5,614,27472,24663,26010,0,"Mobayed, Susie                          ",susie.mobayed@det.nsw.edu.au,Metropolitan Sydney,,,,20035,Bankstown Secondary,Metro - South,,,,40011,Metro / West Central SSP,Metro - West Central
8399,Doonside High School,Secondary School,Doonside High,673.8,2767,Power St,7 to 12,Doonside ,Open,Western Sydney,Minchinbury,Mount Druitt,Blacktown (C),0,Blacktown (C),Blacktown (C) - South-East,Blacktown,Blacktown,Blacktown,Chifley,Chifley,Metropolitan North,School Performance North,Macquarie Park,Quakers Hill,Western Sydney & Nepean Blue Mountains,46397,6397,2012,Coed School,N,Technology,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,Yes,N,,,9622 2463,9621 3761,https://doonside-h.schools.nsw.gov.au,doonside-h.school@det.nsw.edu.au,9831 5951,,No,E,N,N,N,0,2,22,1/01/1964,,,324,533,10750,10750,10752,51,10,8,9,625,25990,24625,26002,0,"Campbell, Colin                         ",colin.t.campbell@det.nsw.edu.au                                                                                                 ,Metropolitan Sydney,,,,20038,Blacktown Secondary,Metro - West Central,,,,40011,Metro / West Central SSP,Metro - West Central
8400,St Ives High School,Secondary School,St Ives High,1272.8,2075,Yarrabung Rd,7 to 12,St Ives ,Open,Northern Sydney,North Shore Network,Ryde,Ku-ring-gai (A),0,Ku-ring-gai (A),Ku-ring-gai (A),Davidson,Davidson,Davidson,Bradfield,Bradfield,Metropolitan North,School Performance North,Macquarie Park,The Forest,"South Eastern Sydney, Northern Sydney & Sydney",47638,7638,2013,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,Yes,,,No,N,,,9144 1689,9144 6555,https://stives-h.schools.nsw.gov.au,stives-h.school@det.nsw.edu.au,9449 7074,,No,E,N,N,N,0,1,48,1/01/1964,,,334,531,14500,14500,14500,67,24,6,6,613,25990,24625,26005,0,"Watson, Mark                            ",mark.j.watson@det.nsw.edu.au                                                                                                    ,Metropolitan Sydney,,,,20013,Chatswood Secondary,Metro - North,,,,40007,Metro / North SSP,Metro - North
8401,Lurnea High School,Secondary School,Lurnea High,663.2,2170,2 Hillview Parade,7 to 12,LURNEA,Open,South Western Sydney,Liverpool,Liverpool,Liverpool (C),0,Liverpool (C),Liverpool (C) - East,Holsworthy,Holsworthy,Macquarie Fields,Werriwa,Werriwa,Metropolitan South and West,School Performance South,Ultimo,Glenfield,South Western Sydney,46509,6509,2014,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,Yes,,,Yes,N,,,9602 5704,9602 0036,https://lurnea-h.schools.nsw.gov.au,lurnea-h.school@det.nsw.edu.au,9822 5094,,No,E,N,N,N,0,4,84,1/01/1965,,,321,532,14900,14900,14901,75,47,46,48,621,27472,24663,26050,0,"Landrigan, Kylie                        ",kylie.landrigan@det.nsw.edu.au                                                                                                  ,Metropolitan Sydney,,,,20026,Liverpool Secondary,Metro - South West,,,,40009,Metro / South West SSP,Metro - South West
8402,Beacon Hill High School,Secondary School,Beacon Hill High,,2100,Tristram Rd,11 to 12,Beacon Hill,Closed,Northern Sydney,Not Known,Not Defined,Northern Beaches (A),0,Warringah (A),Not Specified,Wakehurst,Wakehurst,Wakehurst,Mackellar,Mackellar,Unassigned,,Unassigned,Unassigned,"South Eastern Sydney, Northern Sydney & Sydney",7707,7707,5013028,Coed School,N,Senior College,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9451 2897,,Not currently available,,9975 5036,,No,,N,N,N,0,1,6126,1/01/1964,20/12/2002,20/12/2002,-1,531,15990,18000,0,68,88,26,27,0,-1,-1,-1,0,,,,,,,,,,,,,,,
8403,Mitchell High School,Secondary School,Mitchell High,973.7,2148,Keyworth Drive,7 to 12,Blacktown ,Open,Western Sydney,Nirimba,Blacktown,Blacktown (C),0,Blacktown (C),Blacktown (C) - South-East,Blacktown,Blacktown,Blacktown,Greenway,Greenway,Metropolitan South and West,School Performance South,Macquarie Park,Bungarribee,Western Sydney & Nepean Blue Mountains,47837,7837,2015,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9622 8926,9622 9944,https://mitchell-h.schools.nsw.gov.au,mitchell-h.school@det.nsw.edu.au,9831 2805,,No,E,N,N,N,0,2,22,1/05/1964,,,306,533,10750,10750,10752,51,10,18,19,624,27472,24625,25991,0,"Marinis, Elena                          ",elena.marinis@det.nsw.edu.au,Metropolitan Sydney,,,,20038,Blacktown Secondary,Metro - West Central,,,,,,
8404,Endeavour Sports High School,Secondary School,Endeavour Sports High,1175,2229,Taren Pt Rd & The Boulevarde,7 to 12,Caringbah ,Open,Sydney,Port Hacking,Sutherland,Sutherland Shire (A),0,Sutherland Shire (A),Sutherland Shire (A) - East,Miranda,Miranda,Cronulla,Cook,Cook,Metropolitan South and West,School Performance South,Ultimo,Sutherland,"South Eastern Sydney, Northern Sydney & Sydney",48652,8652,2016,Coed School,N,Sports,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,PO Box 226,Caringbah 1495,9524 0615,9524 0616,https://endeavour-h.schools.nsw.gov.au,endeavour-h.school@det.nsw.edu.au,9540 4458,,No,E,N,N,N,0,1,7,1/01/1964,,,337,530,17150,17150,17151,77,23,9,10,607,27472,24663,26025,0,"Kozlowski, James                        ",james.kozlowski@det.nsw.edu.au                                                                                                  ,Metropolitan Sydney,,,,20018,Caringbah Secondary,Metro - South,,,,40008,Metro / South  SSP,Metro - South
8405,Erina High School,Secondary School,Erina High,717.4,2250,152 The Entrance Rd,7 to 12,Erina ,Open,Hunter/Central Coast,H/CC2,Central Coast,Central Coast (C),0,Gosford (C),Gosford (C) - East,Terrigal,Terrigal,Terrigal,Robertson,Robertson,Regional North,School Performance North,Macquarie Park,Brisbane Water,Hunter New England & Central Coast,48675,8675,2017,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,4367 7353,4367 7246,https://erina-h.schools.nsw.gov.au,erina-h.school@det.nsw.edu.au,4365 3086,,No,E,N,N,N,0,1,13,1/01/1964,,,311,534,11650,13100,13101,42,81,40,41,643,26027,24625,26029,0,"Broadbent, Paul                         ",paul.w.broadbent@det.nsw.edu.au                                                                                                 ,Central Coast,,,,20046,Terrigal Secondary,Central Coast,,,,,,
